stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1750100,,"ON 75TH AT INDIANA EB",,  38.990328, -94.548084,,,0,
1750102,,"ON 75TH AT MONROE EASTBOUND",,  38.990186, -94.544968,,,0,
1750109,,"ON CLEVELAND AT 69TH NORTHBOUND",,  39.001170, -94.542707,,,0,
1750110,,"ON CLEVELAND AT 68TH STREET NORTHBOUND",,  39.002709, -94.542633,,,0,
1750114,,"ON SWOPE PKWY AT MEYER NB",,  39.007698, -94.542248,,,0,
1750115,,"ON SWOPE PKWY AT SOUTHEAST H.S. NB",,  39.009728, -94.542135,,,0,
1750118,,"ON 63RD AT ELMWOOD EASTBOUND",,  39.012082, -94.532968,,,0,
1751404,,"ON 115TH AT KOHL'S ACCESS RD EB",,  38.917367, -94.665781,,,0,
1751405,,"ON METCALF AT W 105TH NB",,  38.938536, -94.667355,,,0,
1751406,,"ON METCALF AT W 105TH SB",,  38.938501, -94.667726,,,0,
1751407,,"119TH & METCALF WALMART",,  38.914768, -94.666812,,,0,
1751410,,"ON 85TH AT HICKMAN MILLS DR EASTBOUND",,  38.972519, -94.550500,,,0,
1751411,,"ON 85TH AT HICKMAN MILLS DR WESTBOUND",,  38.972595, -94.550673,,,0,
175152,,"ON METCALF AT 110TH NORTHBOUND FARSIDE",,  38.928933, -94.667620,,,0,
175157,,"ON PROSPECT AT 81ST NB",,  38.980069, -94.557715,,,0,
175158,,"ON STATE LINE AT 95TH SOUTBOUND NEARSIDE",,  38.956864, -94.608271,,,0,
175162,,"ON 95TH ST AT MISSION WESTBOUND NEARSIDE",,  38.956944, -94.629969,,,0,
1752300,,"ON 75TH AT BELLEFONTAINE WESTBOUND",,  38.990600, -94.551296,,,0,
1801,,"ON CLEAVER II BLVD AT BENTON AVE WB",,  39.038736, -94.541701,,,0,
18180,,"ON OAK AT 17TH NEARSIDE NORTHBOUND",,  39.093203, -94.578817,,,0,
18181,,"ON BENTON AT E 46TH TERR NORTHBOUND",,  39.040549, -94.543058,,,0,
18182,,"ON BENTON AT E 46TH TERR SOUTHBOUND NEARSIDE",,  39.040608, -94.543318,,,0,
18183,,"ON E 67TH AT 4215 E 67TH STREET WESTBOUND MIDBLOCK",,  39.004394, -94.535623,,,0,
18184,,"ON E 67TH ST AT JACKSON WESTBOUND NEARSIDE",,  39.004488, -94.537920,,,0,
18185,,"ON E 67TH AT MYRTLE WESTBOUND NEARSIDE",,  39.004618, -94.540356,,,0,
18186,,"ON JACKSON AVE AT 67TH TERR SOUTHBOUND FARSIDE",,  39.003412, -94.538058,,,0,
181901,,"ON N 18TH ST AT LONGWOOD SOUTHBOUND FARSIDE",,  39.136784, -94.651391,,,0,
181902,,"ON N 18TH AT CLEVELAND SOUTHBOUND",,  39.133325, -94.651012,,,0,
181903,,"ON N 18TH AT PARALLEL SOUTHBOUND FARSIDE",,  39.128112, -94.649611,,,0,
181904,,"ON N 18TH AT WOOD SOUTHBOUND NEARSIDE",,  39.124158, -94.649358,,,0,
181905,,"ON N 18TH AT WASHINGTON SOUTHBOUND NEARSIDE",,  39.119758, -94.649471,,,0,
181906,,"ON N 18TH ST AT NEBRASKA SOUTHBOUND NEARSIDE",,  39.117607, -94.649484,,,0,
181908,,"ON 18TH AT BUNKER NEARSIDE",,  39.099559, -94.649554,,,0,
18191,,"ON SWOPE PARKWAY AT 57TH ST NORTHBOUND NEARSIDE",,  39.022325, -94.541354,,,0,
181911,,"ON 18TH AT BUNKER NORTHBOUND FARSIDE",,  39.100215, -94.649333,,,0,
181912,,"ON N 18TH AT CENTRAL NORTHBOUND NEARSIDE",,  39.105808, -94.649362,,,0,
181913,,"ON N 18TH AT GRANDVIEW NORTHBOUND FARSIDE",,  39.108361, -94.649299,,,0,
181914,,"ON N 18TH AT BARNETT NORTHBOUND NEARSIDE",,  39.112565, -94.649271,,,0,
181915,,"ON N 18TH AT NEBRASKA NOTHBOUND NEARSIDE",,  39.117425, -94.649350,,,0,
181916,,"ON 18TH AT EVERETT NORTHBOUND NEARSIDE",,  39.119359, -94.649338,,,0,
181917,,"ON 18TH AT WOOD NORTHBOUND FARSIDE",,  39.124188, -94.649221,,,0,
181918,,"ON N 18TH AT PARALLEL PARKWAY NORTHBOUND NEARSIDE",,  39.128785, -94.649532,,,0,
181919,,"ON N 18TH AT CLEVELAND NORTHBOUND NEARSIDE",,  39.133646, -94.651185,,,0,
181920,,"ON N 18TH AT LONGWOOD NEARSIDE NEARSIDE",,  39.136801, -94.651253,,,0,
18300,,"CENTERPOINT HOSPITAL",,  39.049868, -94.350175,,,0,
1830003,,"ON BOLGER RD AT TARGET SUPERSTORE NORTHBOUND",,  39.050437, -94.368538,,,0,
1830006,,"ON 23RD ST AT 1516 E 23RD ST WESTBOUND",,  39.078586, -94.397004,,,0,
1830008,,"ON NOLAND AT RUBY SB",,  39.084767, -94.413807,,,0,
1830009,,"ON GUDGELL AT HUB DR WB",,  39.072178, -94.379844,,,0,
1830010,,"ON BOLGER AT VIKING  WALMART EB",,  39.047178, -94.366601,,,0,
1830014,,"ON NOLAND AT WALNUT SB",,  39.090164, -94.413430,,,0,
1830015,,"ON NOLAND AT WALNUT NB",,  39.089822, -94.413380,,,0,
1830017,,"ON NOLAND AT RUBY NB",,  39.085429, -94.413490,,,0,
18302,,"ON ARROWHEAD AT 38TH ST SB",,  39.048777, -94.359485,,,0,
183041,,"ON 37TH TERR AT 19120 E 37TH TERR WB",,  39.050752, -94.356601,,,0,
1831501,,"ON NOLAND AT SEA SB",,  39.082830, -94.413868,,,0,
1831502,,"ON LEES SUMMIT ROAD AT 28TH TERR SB",,  39.067824, -94.391126,,,0,
1831503,,"ON LEES SUMMIT ROAD AT 32ND SB",,  39.061340, -94.391588,,,0,
1831504,,"ON LEES SUMMIT ROAD AT DEBRA SB",,  39.051787, -94.387222,,,0,
1831505,,"ON CRAKCERNECK AT 39TH SB",,  39.048604, -94.372899,,,0,
1831506,,"ON LEES SUMMIT AT DEBRA NB",,  39.051605, -94.387086,,,0,
1831507,,"ON LEES SUMMIT AT 32ND NB",,  39.061387, -94.391350,,,0,
1831508,,"ON LEES SUMMIT AT 28TH TERR NB",,  39.068488, -94.390949,,,0,
183151,,"INDEPENDENCE CENTER",,  39.046620, -94.359941,,,0,
1831510,,"ON 37TH TER AT AMC THEATRES WESTBOUND",,  39.050944, -94.353842,,,0,
1831515,,"ON BOLGER AT 17800 BOLGER/APPLETREE CONDO",,  39.052064, -94.369809,,,0,
1831518,,"ON E 23RD AT HYVEE EB",,  39.078436, -94.396096,,,0,
183152,,"ON BOLGER AT 17800 BOLDER EB",,  39.051959, -94.370125,,,0,
1831520,,"ON 37TH AT 19120 E 37TH TERR EB",,  39.050624, -94.356025,,,0,
1831521,,"ON 37TH TERR AT AMC THEATRES EASTBOUND",,  39.050843, -94.353799,,,0,
183153,,"ON BOLGER AT 37TH TERR SB",,  39.050558, -94.368670,,,0,
183201,,"ON LEE'S SUMMIT RD AT KIGER NB",,  39.056684, -94.390808,,,0,
183202,,"ON BOLGER AT WALMART WB",,  39.047281, -94.366740,,,0,
183211,,"ON LEE'S SUMMIT RD AT KIGER SB",,  39.056795, -94.391097,,,0,
1834,,"ON NORFLEET AT NE 40TH SB",,  39.167041, -94.426478,,,0,
183519,,"ON CRACKERNECK AT 3810 CRACKERNECK NB",,  39.049430, -94.372705,,,0,
1910002,,"ON JENNINGS AT 6TH TERR COURT NB",,  39.115442, -94.374498,,,0,
